case_id,constraint_count,diagnostic_level,diagnostic_axis,preference_axis,requested_score_band,source_score_band,borrowed_score_band,score,finder,baseline_school,baseline_major,baseline_tier,baseline_ranking,target_school,target_major,target_year,target_min_score,target_min_rank,target_min_rank_missing,target_tier,tier_delta,ranking_gain,tuition_delta,quality_gain,outcome_gain,risk_level,score_margin
four-constrain-risk_tier-680-015,4,4-constrain,risk_tier,school,640-680,640-680,False,680,single_risk,杭州医学院,临床医学,2,706,浙江大学医学院,临床医学,2025,673,2946,False,4,2,703,,,,chong,7
four-constrain-tuition_value-520-016,4,4-constrain,tuition_value,tuition,520-549,520-549,False,520,tuition_value,昆明理工大学,工商管理(呈贡校区),2,72,贵州大学,冶金工程,2021,495,160516,False,3,1,0,40,,,,25
four-constrain-tuition_value-550-017,4,4-constrain,tuition_value,tuition,550-579,550-579,False,550,tuition_value,昆明理工大学,金融学(呈贡校区),2,72,广西大学,公共事业管理,2024,542,120511,False,3,1,0,978,,,,8
four-constrain-tuition_value-600-018,4,4-constrain,tuition_value,tuition,580-609,580-609,False,600,tuition_value,西南大学,药学,3,37,西北农林科技大学,资源环境科学,2025,592,61052,False,4,1,0,1600,,,,8
four-constrain-tuition_value-610-019,4,4-constrain,tuition_value,tuition,610-639,610-639,False,610,tuition_value,西南大学,药学,3,37,西北农林科技大学,农学,2025,606,45285,False,4,1,0,1600,,,,4
four-constrain-tuition_value-550-020,4,4-constrain,tuition_value,tuition,640-680,550-579,True,550,tuition_value,昆明理工大学,金融学(呈贡校区),2,72,华南农业大学,水产养殖学,2024,543,118815,False,3,1,0,480,,,,7
four-constrain-major_quality-600-021,4,4-constrain,major_quality,quality,520-549,580-609,True,600,major_quality,浙江师范大学,计算机类(含计算机科学与技术(师范)、计算机科学与技术、智能科学与技术、软件工程专业),2,92,重庆邮电大学,软件工程,2025,600,51826,False,2,0,0,,22.0,,,0
four-constrain-major_quality-590-022,4,4-constrain,major_quality,quality,550-579,580-609,True,590,major_quality,浙江师范大学,"软件工程(中外合作办学)(与英国伍斯特大学合作,部分课程英文授课.要求高考外语成绩不低于90分)",2,92,哈尔滨理工大学,软件工程,2023,590,62715,False,2,0,0,,10.0,,,0
four-constrain-major_quality-590-023,4,4-constrain,major_quality,quality,580-609,580-609,False,590,major_quality,浙江师范大学,"软件工程(中外合作办学)(与英国伍斯特大学合作,部分课程英文授课.要求高考外语成绩不低于90分)",2,92,江西农业大学,软件工程,2025,566,91916,False,2,0,0,,10.0,,,24
four-constrain-major_quality-620-024,4,4-constrain,major_quality,quality,610-639,610-639,False,620,major_quality,浙江工业大学,软件工程,2,89,湘潭大学,软件工程,2025,617,34650,False,3,1,0,,17.0,,,3
four-constrain-major_quality-680-025,4,4-constrain,major_quality,quality,640-680,640-680,False,680,major_quality,浙江工业大学,软件工程,2,89,武汉大学,软件工程,2025,674,2599,False,4,2,82,,20.0,,,6
four-constrain-employment_outcome-520-026,4,4-constrain,employment_outcome,quality,520-549,520-549,False,520,employment_outcome,浙江农林大学暨阳学院,机械设计制造及其自动化,2,790,广西师范大学,工业设计,2025,513,156857,False,2,0,633,,,49.0,,7
four-constrain-employment_outcome-550-027,4,4-constrain,employment_outcome,quality,550-579,550-579,False,550,employment_outcome,丽水学院,机械设计制造及其自动化,2,387,齐鲁工业大学,工业设计,2025,549,112759,False,2,0,259,,,49.0,,1
four-constrain-employment_outcome-600-028,4,4-constrain,employment_outcome,quality,580-609,580-609,False,600,employment_outcome,宁波大学,机械设计制造及其自动化(国际贸易班),3,87,湘潭大学,工业设计,2025,600,51673,False,3,0,0,,,49.0,,0
four-constrain-employment_outcome-620-029,4,4-constrain,employment_outcome,quality,610-639,610-639,False,620,employment_outcome,宁波大学,机械设计制造及其自动化,3,87,西南交通大学,工业设计,2025,615,36544,False,3,0,48,,,49.0,,5
four-constrain-employment_outcome-650-030,4,4-constrain,employment_outcome,quality,640-680,640-680,False,650,employment_outcome,宁波大学,机械设计制造及其自动化,3,87,西安交通大学,工业设计,2025,649,11462,False,4,1,73,,,49.0,,1
