case_id,constraint_count,diagnostic_level,diagnostic_axis,preference_axis,requested_score_band,source_score_band,borrowed_score_band,score,finder,baseline_school,baseline_major,baseline_tier,baseline_ranking,target_school,target_major,target_year,target_min_score,target_min_rank,target_min_rank_missing,target_tier,tier_delta,ranking_gain,tuition_delta,quality_gain,outcome_gain,risk_level,score_margin
six-constrain-major_quality-600-021,6,6-constrain,major_quality,quality,520-549,580-609,True,600,major_quality,浙江师范大学,计算机类(含计算机科学与技术(师范)、计算机科学与技术、智能科学与技术、软件工程专业),2,92,重庆邮电大学,软件工程,2025,600,51826,False,2,0,0,,22.0,,,0
six-constrain-major_quality-590-022,6,6-constrain,major_quality,quality,550-579,580-609,True,590,major_quality,浙江师范大学,"软件工程(中外合作办学)(与英国伍斯特大学合作,部分课程英文授课.要求高考外语成绩不低于90分)",2,92,哈尔滨理工大学,软件工程,2023,590,62715,False,2,0,0,,10.0,,,0
six-constrain-major_quality-590-023,6,6-constrain,major_quality,quality,580-609,580-609,False,590,major_quality,浙江师范大学,"软件工程(中外合作办学)(与英国伍斯特大学合作,部分课程英文授课.要求高考外语成绩不低于90分)",2,92,江西农业大学,软件工程,2025,566,91916,False,2,0,0,,10.0,,,24
six-constrain-major_quality-620-024,6,6-constrain,major_quality,quality,610-639,610-639,False,620,major_quality,浙江工业大学,软件工程,2,89,湘潭大学,软件工程,2025,617,34650,False,3,1,0,,17.0,,,3
six-constrain-major_quality-680-025,6,6-constrain,major_quality,quality,640-680,640-680,False,680,major_quality,浙江工业大学,软件工程,2,89,武汉大学,软件工程,2025,674,2599,False,4,2,82,,20.0,,,6
six-constrain-employment_outcome-520-026,6,6-constrain,employment_outcome,quality,520-549,520-549,False,520,employment_outcome,浙江农林大学暨阳学院,机械设计制造及其自动化,2,790,广西师范大学,工业设计,2025,513,156857,False,2,0,633,,,49.0,,7
six-constrain-employment_outcome-550-027,6,6-constrain,employment_outcome,quality,550-579,550-579,False,550,employment_outcome,丽水学院,机械设计制造及其自动化,2,387,齐鲁工业大学,工业设计,2025,549,112759,False,2,0,259,,,49.0,,1
six-constrain-employment_outcome-600-028,6,6-constrain,employment_outcome,quality,580-609,580-609,False,600,employment_outcome,宁波大学,机械设计制造及其自动化(国际贸易班),3,87,湘潭大学,工业设计,2025,600,51673,False,3,0,0,,,49.0,,0
six-constrain-employment_outcome-620-029,6,6-constrain,employment_outcome,quality,610-639,610-639,False,620,employment_outcome,宁波大学,机械设计制造及其自动化,3,87,西南交通大学,工业设计,2025,615,36544,False,3,0,48,,,49.0,,5
six-constrain-employment_outcome-650-030,6,6-constrain,employment_outcome,quality,640-680,640-680,False,650,employment_outcome,宁波大学,机械设计制造及其自动化,3,87,西安交通大学,工业设计,2025,649,11462,False,4,1,73,,,49.0,,1
